step,residual,mass
129,3.0040994292406657e-03,6.2609054776509907e-07
130,2.9791585943921887e-03,6.4915381523039607e-07
131,2.9546218690460553e-03,6.7283417139733766e-07
132,2.9304796708923713e-03,6.9714381248746954e-07
133,2.9067227135121066e-03,7.2209453834035502e-07
134,2.8833419952454965e-03,7.4769776269490211e-07
135,2.8603287885504442e-03,7.7396452250522812e-07
136,2.8376746298281103e-03,8.0090548721542550e-07
137,2.8153713096911552e-03,8.2853096798838219e-07
138,2.7934108636533798e-03,8.5685092554937781e-07
139,2.7717855632185240e-03,8.8587497903733916e-07
140,2.7504879073502555e-03,9.1561241335642670e-07
141,2.7295106143031614e-03,9.4607218724292073e-07
142,2.7088466137978511e-03,9.7726294046767185e-07
143,2.6884890395235997e-03,1.0091930009522847e-06
144,2.6684312219531449e-03,1.0418703915730989e-06
145,2.6486666814528343e-03,1.0753028370439319e-06
146,2.6291891216779595e-03,1.1094977702898656e-06
147,2.6099924232348658e-03,1.1444623387571723e-06
148,2.5910706376021438e-03,1.1802034104066527e-06
149,2.5724179812956537e-03,1.2167275799028201e-06
150,2.5540288302673374e-03,1.2540411740711462e-06
151,2.5358977145272786e-03,1.2921502578091604e-06
152,2.5180193129779736e-03,1.3310606394068213e-06
153,2.5003884484525759e-03,1.3707778757878052e-06
154,2.4830000829460883e-03,1.4113072780642247e-06
155,2.4658493130330049e-03,1.4526539163138625e-06
156,2.4489313654606909e-03,1.4948226245108144e-06
157,2.4322415929132666e-03,1.5378180056863465e-06
158,2.4157754699364329e-03,1.5816444364469512e-06
159,2.3995285890176209e-03,1.6263060716100929e-06
160,2.3834966568134172e-03,1.6718068489327945e-06
161,2.3676754905194546e-03,1.7181504933468386e-06
162,2.3520610143751334e-03,1.7653405214943860e-06
163,2.3366492562984557e-03,1.8133802459338565e-06
164,2.3214363446451246e-03,1.8622727793175262e-06
165,2.3064185050864125e-03,1.9120210385213809e-06
166,2.2915920576011854e-03,1.9626277486444357e-06
167,2.2769534135771079e-03,2.0140954471932667e-06
168,2.2624990730166139e-03,2.0664264876226250e-06
169,2.2482256218432210e-03,2.1196230434003453e-06
170,2.2341297293041427e-03,2.1736871116410616e-06
171,2.2202081454651759e-03,2.2286205169460172e-06
172,2.2064576987941040e-03,2.2844249148336956e-06
173,2.1928752938293393e-03,2.3411017954058755e-06
174,2.1794579089298911e-03,2.3986524868756205e-06
175,2.1662025941038276e-03,2.4570781589957371e-06
176,2.1531064689116557e-03,2.5163798262586547e-06
177,2.1401667204425244e-03,2.5765583515975841e-06
178,2.1273806013589985e-03,2.6376144493382988e-06
179,2.1147454280092261e-03,2.6995486885186397e-06
180,2.1022585786027396e-03,2.7623614960782410e-06
181,2.0899174914478292e-03,2.8260531600814374e-06
182,2.0777196632487081e-03,2.8906238324574232e-06
183,2.0656626474585835e-03,2.9560735324485455e-06
184,2.0537440526882992e-03,3.0224021491847685e-06
185,2.0419615411676716e-03,3.0896094449316901e-06
186,2.0303128272567113e-03,3.1576950576786517e-06
187,2.0187956760065380e-03,3.2266585041800294e-06
188,2.0074079017667838e-03,3.2964991826328377e-06
189,1.9961473668381460e-03,3.3672163754303782e-06
190,1.9850119801684092e-03,3.4388092518793479e-06
191,1.9739996960909654e-03,3.5112768709190417e-06
192,1.9631085131029354e-03,3.5846181835698727e-06
193,1.9523364726824358e-03,3.6588320354991801e-06
194,1.9416816581436667e-03,3.7339171698391711e-06
195,1.9311421935275087e-03,3.8098722292777371e-06
196,1.9207162425276621e-03,3.8866957587972296e-06
197,1.9104020074492351e-03,3.9643862078914354e-06
198,1.9001977282012163e-03,4.0429419330261109e-06
199,1.8901016813187856e-03,4.1223611999914462e-06
200,1.8801121790162458e-03,4.2026421861693419e-06
201,1.8702275682693492e-03,4.2837829825727703e-06
202,1.8604462299248916e-03,4.3657815965675412e-06
203,1.8507665778380634e-03,4.4486359534209037e-06
204,1.8411870580354363e-03,4.5323438988793663e-06
205,1.8317061479032001e-03,4.6169032012458029e-06
206,1.8223223553999455e-03,4.7023115532161380e-06
207,1.8130342182927912e-03,4.7885665739871914e-06
208,1.8038403034159899e-03,4.8756658116071976e-06
209,1.7947392059518414e-03,4.9636067442868351e-06
210,1.7857295487325444e-03,5.0523867829934136e-06
211,1.7768099815623701e-03,5.1420032728951597e-06
212,1.7679791805600773e-03,5.2324534954723766e-06
213,1.7592358475194815e-03,5.3237346701881143e-06
214,1.7505787092899903e-03,5.4158439564671680e-06
215,1.7420065171731725e-03,5.5087784552899910e-06
216,1.7335180463383731e-03,5.6025352111270508e-06
217,1.7251120952533707e-03,5.6971112133654769e-06
218,1.7167874851326231e-03,5.7925033983414388e-06
219,1.7085430594001149e-03,5.8887086506301433e-06
220,1.7003776831677555e-03,5.9857238050042529e-06
221,1.6922902427282918e-03,6.0835456478295912e-06
222,1.6842796450626172e-03,6.1821709185614630e-06
223,1.6763448173601034e-03,6.2815963114749009e-06
224,1.6684847065531405e-03,6.3818184770418193e-06
225,1.6606982788635297e-03,6.4828340234542666e-06
226,1.6529845193620921e-03,6.5846395180292701e-06
227,1.6453424315400456e-03,6.6872314886767065e-06
228,1.6377710368914206e-03,6.7906064252603650e-06
229,1.6302693745081347e-03,6.8947607810600737e-06
230,1.6228365006845974e-03,6.9996909740029889e-06
231,1.6154714885336704e-03,7.1053933880474770e-06
232,1.6081734276127797e-03,7.2118643743205589e-06
233,1.6009414235598457e-03,7.3191002527564491e-06
234,1.5937745977390081e-03,7.4270973128972052e-06
235,1.5866720868956260e-03,7.5358518155155605e-06
236,1.5796330428202736e-03,7.6453599934778059e-06
237,1.5726566320216303e-03,7.7556180530249452e-06
238,1.5657420354078715e-03,7.8666221750839637e-06
239,1.5588884479763993e-03,7.9783685162424245e-06
240,1.5520950785112358e-03,8.0908532098532162e-06
241,1.5453611492888162e-03,8.2040723670726595e-06
242,1.5386858957906718e-03,8.3180220781478264e-06
243,1.5320685664239660e-03,8.4326984132009499e-06
244,1.5255084222487705e-03,8.5480974233567440e-06
245,1.5190047367124768e-03,8.6642151417455361e-06
246,1.5125567953906277e-03,8.7810475844969552e-06
247,1.5061638957346241e-03,8.8985907516433789e-06
248,1.4998253468255693e-03,9.0168406279508054e-06
249,1.4935404691338321e-03,9.1357931842480169e-06
250,1.4873085942854977e-03,9.2554443778758277e-06
251,1.4811290648336338e-03,9.3757901536818618e-06
252,1.4750012340356655e-03,9.4968264449846623e-06
253,1.4689244656362727e-03,9.6185491744778555e-06
254,1.4628981336552317e-03,9.7409542547928837e-06
255,1.4569216221806281e-03,9.8640375894723697e-06
256,1.4509943251671553e-03,9.9877950738916721e-06
257,1.4451156462391966e-03,1.0112222595596512e-05
258,1.4392849984982998e-03,1.0237316035594215e-05
259,1.4335018043360114e-03,1.0363071268770932e-05
260,1.4277654952502073e-03,1.0489484164595891e-05
261,1.4220755116667106e-03,1.0616550588010749e-05
262,1.4164313027643582e-03,1.0744266399984248e-05
263,1.4108323263048552e-03,1.0872627458135348e-05
264,1.4052780484658470e-03,1.1001629617635952e-05
265,1.3997679436787010e-03,1.1131268731519211e-05
266,1.3943014944694026e-03,1.1261540651647915e-05
267,1.3888781913037182e-03,1.1392441229019257e-05
268,1.3834975324350672e-03,1.1523966314648888e-05
269,1.3781590237570353e-03,1.1656111759757935e-05
270,1.3728621786583337e-03,1.1788873416938900e-05
271,1.3676065178813454e-03,1.1922247140121356e-05
272,1.3623915693842185e-03,1.2056228785476855e-05
273,1.3572168682053579e-03,1.2190814211764031e-05
274,1.3520819563318219e-03,1.2325999280968932e-05
275,1.3469863825700662e-03,1.2461779858803284e-05
276,1.3419297024196647e-03,1.2598151815092167e-05
277,1.3369114779500891e-03,1.2735111024253966e-05
278,1.3319312776799341e-03,1.2872653366014650e-05
279,1.3269886764592166e-03,1.3010774725494795e-05
280,1.3220832553536628e-03,1.3149470993961388e-05
281,1.3172146015319206e-03,1.3288738069117518e-05
282,1.3123823081555013e-03,1.3428571855474862e-05
283,1.3075859742704842e-03,1.3568968264890361e-05
284,1.3028252047018053e-03,1.3709923216911841e-05
285,1.2980996099502277e-03,1.3851432639172265e-05
286,1.2934088060911353e-03,1.3993492467760976e-05
287,1.2887524146752681e-03,1.4136098647559630e-05
288,1.2841300626321140e-03,1.4279247132616554e-05
289,1.2795413821753449e-03,1.4422933886535829e-05
290,1.2749860107094735e-03,1.4567154882869221e-05
291,1.2704635907394653e-03,1.4711906105226165e-05
