step,residual,mass
48,8.2174286762183753e-03,1.5987880469022072e-09
49,8.0380931095055206e-03,1.4856168468045838e-09
50,7.8666749035851309e-03,1.3912533454300785e-09
51,7.7026609510225793e-03,1.3160051881567121e-09
52,7.5455804447507012e-03,1.2602920121709362e-09
53,7.3950007673552259e-03,1.2246669824343002e-09
54,7.2505238335422752e-03,1.2098380576673954e-09
55,7.1117828300470568e-03,1.2166885123080902e-09
56,6.9784393048487594e-03,1.2462965968334770e-09
57,6.8501805640148019e-03,1.2999537445787546e-09
58,6.7267173399965631e-03,1.3791816280762670e-09
59,6.6077816998962027e-03,1.4857477080891103e-09
60,6.4931251662528038e-03,1.6216792441336933e-09
61,6.3825170263516378e-03,1.7892758564876408e-09
62,6.2757428090453749e-03,1.9911205039234808e-09
63,6.1726029106455790e-03,2.2300890852308782e-09
64,6.0729113536760661e-03,2.5093583223750829e-09
65,5.9764946642107269e-03,2.8324125234102008e-09
66,5.8831908552020931e-03,3.2030486460217042e-09
67,5.7928485046715517e-03,3.6253801786177147e-09
68,5.7053259189140644e-03,4.1038396367682660e-09
69,5.6204903719864032e-03,4.6431798056236519e-09
70,5.5382174137330762e-03,5.2484737677995799e-09
71,5.4583902394621468e-03,5.9251138688471341e-09
72,5.3808991151424517e-03,6.6788094173067213e-09
73,5.3056408526601408e-03,7.5155834806562181e-09
74,5.2325183302602257e-03,8.4417686912805927e-09
75,5.1614400538194955e-03,9.4640020280824710e-09
76,5.0923197550557259e-03,1.0589218906801878e-08
77,5.0250760231854968e-03,1.1824646272138889e-08
78,4.9596319669044427e-03,1.3177795163781271e-08
79,4.8959149038835578e-03,1.4656452472585035e-08
80,4.8338560752600023e-03,1.6268672038147554e-08
81,4.7733903828560019e-03,1.8022765340890633e-08
82,4.7144561470832038e-03,1.9927291588257494e-08
83,4.6569948836935968e-03,2.1991047362010225e-08
84,4.6009510977164702e-03,2.4223055882422866e-08
85,4.5462720930832005e-03,2.6632555958014514e-08
86,4.4929077965851156e-03,2.9228990665041195e-08
87,4.4408105949381100e-03,3.2021995670918355e-08
88,4.3899351838451537e-03,3.5021387565605457e-08
89,4.3402384280497811e-03,3.8237151909997021e-08
90,4.2916792314684404e-03,4.1679431150867560e-08
91,4.2442184165723557e-03,4.5358512661228613e-08
92,4.1978186122663633e-03,4.9284816578526430e-08
93,4.1524441495791493e-03,5.3468883729384551e-08
94,4.1080609645409247e-03,5.7921363673822068e-08
95,4.0646365076808461e-03,6.2653002572333154e-08
96,4.0221396596251532e-03,6.7674631649846311e-08
97,3.9805406523230284e-03,7.2997155199040614e-08
98,3.9398109954685411e-03,7.8631539260501496e-08
99,3.8999234077228720e-03,8.4588800130593587e-08
100,3.8608517523755132e-03,9.0879993359351271e-08
101,3.8225709771138646e-03,9.7516202721557751e-08
102,3.7850570575971238e-03,1.0450852959828158e-07
103,3.7482869445565731e-03,1.1186808249524105e-07
104,3.7122385141670090e-03,1.1960596701877836e-07
105,3.6768905214545513e-03,1.2773327585939737e-07
106,3.6422225565249230e-03,1.3626107929559886e-07
107,3.6082150034142911e-03,1.4520041586145543e-07
108,3.5748490013796262e-03,1.5456228342186547e-07
109,3.5421064084602233e-03,1.6435763048164459e-07
110,3.5099697671556532e-03,1.7459734777643685e-07
111,3.4784222720762952e-03,1.8529226031193945e-07
112,3.4474477394346743e-03,1.9645311953391600e-07
113,3.4170305782553743e-03,2.0809059604130791e-07
114,3.3871557631902785e-03,2.2021527242412033e-07
115,3.3578088088348319e-03,2.3283763653150930e-07
116,3.3289757454484635e-03,2.4596807492499383e-07
117,3.3006430959892294e-03,2.5961686684920718e-07
118,3.2727978543797180e-03,2.7379417833841278e-07
119,3.2454274649271015e-03,2.8851005673219982e-07
120,3.2185198028251531e-03,3.0377442534986324e-07
121,3.1920631556722418e-03,3.1959707864887824e-07
122,3.1660462059428219e-03,3.3598767755001160e-07
123,3.1404580143552731e-03,3.5295574506546853e-07
124,3.1152880040820215e-03,3.7051066229987599e-07
125,3.0905259457523777e-03,3.8866166444814326e-07
126,3.0661619432009982e-03,4.0741783752096583e-07
127,3.0421864199191850e-03,4.2678811487744716e-07
128,3.0185901061677749e-03,4.4678127424390785e-07
129,2.9953640267142475e-03,4.6740593495911695e-07
130,2.9724994891583995e-03,4.8867055537971354e-07
131,2.9499880728136121e-03,5.1058343061103756e-07
132,2.9278216181127617e-03,5.3315269040460630e-07
133,2.9059922165096397e-03,5.5638629730652241e-07
134,2.8844922008489358e-03,5.8029204492759236e-07
135,2.8633141361791912e-03,6.0487755657802008e-07
136,2.8424508109850871e-03,6.3015028388682378e-07
137,2.8218952288161952e-03,6.5611750586680622e-07
138,2.8016406002920459e-03,6.8278632790521660e-07
139,2.7816803354626827e-03,7.1016368105724943e-07
140,2.7620080365071326e-03,7.3825632151177248e-07
141,2.7426174907518776e-03,7.6707083021230372e-07
142,2.7235026639929215e-03,7.9661361257863612e-07
143,2.7046576941062053e-03,8.2689089844768030e-07
144,2.6860768849315676e-03,8.5790874203287136e-07
145,2.6677547004171714e-03,8.8967302225045822e-07
146,2.6496857590103304e-03,9.2218944287123148e-07
147,2.6318648282841074e-03,9.5546353305095492e-07
148,2.6142868197865446e-03,9.8950064784140243e-07
149,2.5969467841033106e-03,1.0243059688465378e-06
150,2.5798399061221599e-03,1.0598845049487473e-06
151,2.5629615004902615e-03,1.0962410932662587e-06
152,2.5463070072553455e-03,1.1333803999839700e-06
153,2.5298719876814158e-03,1.1713069214617479e-06
154,2.5136521202314046e-03,1.2100249853964647e-06
155,2.4976431967090877e-03,1.2495387519336812e-06
156,2.4818411185520053e-03,1.2898522150347768e-06
157,2.4662418932699234e-03,1.3309692037443063e-06
158,2.4508416310209990e-03,1.3728933836989007e-06
159,2.4356365413199499e-03,1.4156282585658157e-06
160,2.4206229298723765e-03,1.4591771715269712e-06
161,2.4057971955293821e-03,1.5035433069469676e-06
162,2.3911558273573500e-03,1.5487296919882218e-06
163,2.3766954018177790e-03,1.5947391982600419e-06
164,2.3624125800522436e-03,1.6415745435968092e-06
165,2.3483041052682154e-03,1.6892382938036974e-06
166,2.3343668002211030e-03,1.7377328644349119e-06
167,2.3205975647884614e-03,1.7870605227356947e-06
168,2.3069933736327344e-03,1.8372233893253244e-06
169,2.2935512739483237e-03,1.8882234403104368e-06
170,2.2802683832897248e-03,1.9400625089956574e-06
171,2.2671418874775804e-03,1.9927422880004850e-06
172,2.2541690385786870e-03,2.0462643311189019e-06
173,2.2413471529576850e-03,2.1006300553435508e-06
174,2.2286736093972345e-03,2.1558407427548389e-06
175,2.2161458472834787e-03,2.2118975427436625e-06
176,2.2037613648549282e-03,2.2688014738051551e-06
177,2.1915177175114995e-03,2.3265534256751338e-06
178,2.1794125161816520e-03,2.3851541613644360e-06
179,2.1674434257453737e-03,2.4446043191468081e-06
180,2.1556081635105565e-03,2.5049044146276316e-06
181,2.1439044977408311e-03,2.5660548428467168e-06
182,2.1323302462328765e-03,2.6280558801482536e-06
183,2.1208832749410253e-03,2.6909076864105841e-06
184,2.1095614966478585e-03,2.7546103069658388e-06
185,2.0983628696783197e-03,2.8191636747254903e-06
