step,residual,mass
1,1.0000000000000000e+00,7.4164603141636865e-02
2,4.1573785092231602e-01,1.2693803700546000e-01
3,2.2527861465604301e-01,1.6386310812117499e-01
4,1.3615902086925100e-01,1.8970722851774199e-01
5,8.6980799639028578e-02,2.0779590972480599e-01
