step,residual,mass
1,1.0000000000000000e+00,2.5050205154353441e-04
2,4.4024566314425545e-01,4.5495876403880395e-04
3,2.6550497559599878e-01,6.2839172928659873e-04
4,1.8430493690610034e-01,7.8026091344382033e-04
5,1.3898941311441146e-01,9.1662864152710244e-04
