step,residual,mass
1,1.0000000000000000e+00,2.5050205154351419e-04
2,4.4024566314425201e-01,4.5495876403875982e-04
3,2.6550497559599501e-01,6.2839172928652912e-04
4,1.8430493690609601e-01,7.8026091344372600e-04
5,1.3898941311440699e-01,9.1662864152698340e-04
